acoustic,dance,energy,inst,loud,speech,valence,tempo,Acid House,Ambient,Baltimore Club,Bass House,Big Beat,Big Room House,Brazilian Bass,Breakbeat Hardcore,Breakcore,Brostep,Bubblegum Bass,Chill-out,Chillstep,Chill Trap,Chillwave,Chiptune,Classic Synth-pop,Complextro,Crossbreed Hardcore,Dark Ambient,Darkstep,Deathstep,Deep House,Disco House,Doomcore,Downtempo,Drill 'n' Bass,Drum & Bass,Drumstep,Dubstep,Dubstyle,Dub Techno,Electro,Electro House,Electronica,Electro Swing,Euphoric Hardstyle,Eurobeat,Eurodance,Extratone,Fidget House,Frenchcore,French House,Funky Breaks,Funky House,Future Bass,Future Bounce,Future Funk,Future Garage,Future House,Ghetto House,Glitch Hop,Happy Hardcore / UK Hardcore,Hard Bass,Hard Bounce,Hardcore,Hard House,Hardpsy,Hardstyle,Hard Trance,Hard Trap,Hardvapour,Hip House,IDM,Industrial Hardcore,Jackin' House,Japanoise,Jersey Club,Jumpstyle,Jungle Terror,Kawaii Bass,Kwaito,Lento Violento,Liquid Drum & Bass,Lo-Fi,Mákina,Melbourne Bounce,Melodic Dubstep,Melodic Trap,Microhouse,Midtempo Bass,Minimal Techno,Moombahcore,Moombahton,Neurofunk,Neurohop,New-age,New Beat,New Wave,Nu Disco,Outsider House,Progressive House (Classic),Progressive House (Mainstream),Progressive Trance,Psytrance,Rawstyle,Reggaestep,Riddim,Speedcore,Speed Garage,Suomisaundi,Synth-pop,Synthwave / Retrowave,Tech House,Techno,Techstep,Tech Trance,Tekstyle,Terrorcore,Trance,Trap,Trip Hop,Tropical House,UK Bass,UK Garage,Uplifting Trance,Uptempo Hardcore,Vaporwave,Vomitstep,Wubstep
0.00554,0.633,0.789,0.808,-10.482,0.038,0.228,123.233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0306,0.819,0.785,0,-8.339,0.159,0.846,123.279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0148,0.549,0.609,0.124,-15.151,0.262,0.961,121.815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000723,0.742,0.95,0.851,-7.877,0.109,0.978,114.908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000643,0.684,0.968,0.911,-7.936,0.0431,0.966,124.722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0347,0.759,0.951,0.000641,-2.601,0.214,0.909,123.293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00381,0.876,0.633,0.916,-10.399,0.0739,0.513,117.594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.103,0.839,0.647,0.237,-10.557,0.0521,0.924,118.981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00899,0.712,0.694,0.904,-9.787,0.0399,0.963,128.383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00393,0.759,0.756,0.0568,-12.569,0.0572,0.611,123.415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
