song, acoustic, dance, energy, inst, loud, speech, valence, tempo, bassmusic, breakbeat, disco, downtempo, dnb, erock, jungle, hardcore, hardstyle, hauntology, hip hop fusion, trap, house, industrial, techno, trance, uk garage
2bAdERiTGyns7A43zqrJF3,0.0102,0.389,0.975,0.0147,-3.907,0.301,0.592,149.778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0WfrcPpMefzubczJDcWCrI,0.0278,0.698,0.876,2.95e-06,-1.307,0.144,0.0739,144.138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7kUEbVgUEun1UtbrpWLlyk,0.00178,0.381,0.913,0.0314,-4.755,0.0762,0.29,179.911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2TOXS8mpnWMoHOcPLYGbnK,0.00622,0.41,0.923,0.779,-1.841,0.289,0.232,149.831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3SnB6FYj46OI4IOt5TgEGY,0.0101,0.752,0.899,0.239,-6.826,0.0421,0.122,128.009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5dLlraYIaI1ngnoiLl1wIJ,0.000142,0.483,0.986,0.55,-2.454,0.298,0.25,173.978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4wrKprViuIqltw8xz3o89G,0.0023,0.402,0.833,0.0354,-9.647,0.171,0.144,150.017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6BgFYj7GAyqgauRKwMG5Mc,0.223,0.488,0.578,0.481,-3.228,0.353,0.205,83.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16kAFKyJRZHUngoT4gFtv6,0.00412,0.804,0.712,0.658,-8.49,0.0666,0.891,128.008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6xpemzIGan5uOg7KGR0wfp,0.000922,0.564,0.853,0.00963,-5.678,0.233,0.294,148.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Vr3N3rCzmdSTPIUFia431,0.0468,0.472,0.674,0.000263,-7.519,0.93,0.385,64.177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2LU4hD526JzRag57HCkhkj,0.000399,0.458,0.995,0.856,-1.764,0.278,0.293,174.109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1M20Qw0c6Wc1zTzBP9CBPz,0.00275,0.582,0.698,0.133,-4.883,0.0328,0.342,95.016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a5fx33Qf3Gb0DjhBaLa6f,0.0282,0.622,0.519,0.0176,-8.302,0.0344,0.268,130.023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Mgpc7PoSvWV73jhfpmxoE,0.00506,0.441,0.65,0.000715,-4.576,0.0953,0.483,153.129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6xm1ZiRCv1QADPPn88qcru,1.93e-05,0.528,0.948,0.448,-2.292,0.159,0.416,174.065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7AJ0Jfwqa5U0NNcTcSUDPZ,0.0015,0.759,0.791,0.708,-8.407,0.212,0.279,126.011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4igCPHhUeey6Rsv9lGBeIh,0.00651,0.827,0.697,0.164,-6.628,0.0773,0.457,124.959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1qNgETfqf8nLsB32OEG4Kr,0.072,0.631,0.915,0.229,-3.424,0.0913,0.213,114.972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3KyNeivwKZPzGmKaId1JHD,0.0286,0.357,0.986,0,-0.934,0.53,0.258,74.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0IyYhV3YmH0do8nsRaH919,0.0902,0.683,0.918,0.00698,-4.591,0.0438,0.218,123.973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5sRPNlMRJFCoOiVv3vZtcT,0.0338,0.446,0.993,0,-1.413,0.436,0.277,150.101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24QCCkcxv8ZOwVxPSPEf1m,0.0294,0.555,0.964,0.915,-1.483,0.057,0.207,90.427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7frZWWKDXLl7bcJ9MvlnsF,0.00139,0.678,0.896,0.00445,-4.164,0.0671,0.576,126.017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0GUx7RQccWiD2gb3ePwJVs,0.000435,0.772,0.744,0.834,-8.851,0.0606,0.218,109.929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1rIYKrelDliHd8I7AZHhQ0,0.0147,0.265,0.579,0.00344,-8.688,0.0346,0.0703,110.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6omeGJcyvVjFaY95V52nys,0.00443,0.813,0.708,8.17e-06,-4.784,0.0623,0.0951,130.019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1CVabSy0LEy8hDyBMYFdBn,0.00381,0.783,0.831,0.57,-6.205,0.218,0.473,160.023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4SvYiFddf3OlyXNPhjT9Jy,0.06,0.651,0.729,0.00134,-6.865,0.0501,0.117,159.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2COCMxPP3UhEGnv3JUqEC4,0.14,0.496,0.896,0.0179,-1.235,0.128,0.276,150.021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1vmIeiSsqhpBVCBzUpvktb,0.0426,0.788,0.894,0.0594,-1.437,0.325,0.145,164.021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420JGkyLfLUZcgBHKiIK9v,0.0022,0.446,0.657,0,-4.494,0.0262,0.215,152.132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ynxx6zC4dgzsMHLYQ04Dc,0.000193,0.55,0.952,0.000666,-4.664,0.0924,0.391,127.804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44NRdYQw7P0GWuiunRv3hr,2.86e-05,0.217,0.92,0,-4.479,0.0628,0.376,167.169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25CMmGsl22APKhfuj4Tp7j,0.00189,0.509,0.774,0.000549,-4.054,0.0338,0.0824,116.529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1gyee1JuFFiP476LQpRMYU,0.000671,0.509,0.843,0.000803,-3.318,0.0488,0.332,140.055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6X38QEOERzDXI5HPvwAJw7,0.149,0.664,0.89,0.133,-2.881,0.427,0.498,145.115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0UU98KhDayXXXaP7y9ud7M,0.143,0.385,0.651,0.00498,-8.361,0.15,0.318,84.223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02uwXnLbfT68JKAShQ0VTS,0.142,0.739,0.69,0.61,-7.448,0.0314,0.625,131.977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3td8TUsU9wfF4saGDi6NI4,0.0242,0.322,0.398,0.0348,-6.28,0.0916,0.152,80.024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11D7YynZsS8hOCYlqlzevc,0.129,0.814,0.982,0.148,-4.885,0.0947,0.483,95.003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0nXVUxGyjGsyrIQzHRVesF,0.198,0.506,0.49,0.448,-8.411,0.126,0.12,147.879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7MFahU9vl5TWlei936k7n6,0.00407,0.567,0.84,0.0174,-4.98,0.0528,0.46,104.976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Knx4Tp8hE7IlYtde2dCYI,0.00172,0.532,0.949,0.928,-3.903,0.0544,0.604,149.996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5QUbOFOkbDlt4ZY7bdL4Am,0.0204,0.746,0.576,0.0811,-4.796,0.0345,0.0769,123.036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1LDAyB24s26kvMt6hXFBks,0.0134,0.726,0.831,0.775,-6.522,0.0617,0.476,150.003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7HVIYhmG50UGXHk0Cqw50h,3.55e-05,0.29,0.984,0.582,-4.74,0.0623,0.13,125.028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3kN8TbvcpxNElCd29q1K46,0.156,0.313,0.952,0.658,-4.222,0.0495,0.333,129.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2h8OnhWZCRGNjptZ9IurZw,0.000314,0.563,0.79,0.684,-7.387,0.0342,0.429,132.999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3qvZA9AINcrNjQeQNYJq8d,0.00116,0.672,0.945,0.839,-3.427,0.0437,0.185,123.021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5td5z2iVZ8n9cF95pxXTVW,0.00278,0.525,0.837,0.779,-6.529,0.0305,0.19,126.889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5YAoAIyDDqIrRG6wlaxnG5,0.000166,0.633,0.96,0.899,-5.653,0.0494,0.41,126.998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3SgzhsetveEJkjWRBR4kvU,0.000988,0.448,0.959,0.763,-6.168,0.0416,0.222,123.995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Q68ELx05Tv2X5wAey3Pet,0.000427,0.771,0.741,0.828,-6.712,0.0361,0.342,128.011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05FzWxV5hv2Idl8dNXj8w9,0.00214,0.488,0.933,0.901,-5.875,0.0312,0.211,134.997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7kMDkMbjH2VZWNu9zcgUSH,0.0137,0.603,0.657,0.416,-9.734,0.0293,0.0881,125.887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01GmSsOIdd3CkyzixTjpnl,0.0117,0.511,0.913,0.167,-5.962,0.0382,0.0996,126.981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6pKeuJDicz6NTYxXLOyxQG,0.00336,0.62,0.905,0.0129,-4.903,0.0458,0.35,125.005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6cm0CsFVU8QTLTVegPgHDm,0.193,0.577,0.892,0.123,-6.6,0.0321,0.241,125.035,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ZHfD6DH0JsuJkyeXaLMdk,0.274,0.498,0.779,0.93,-10.883,0.0344,0.482,127.985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68Yv6xJKJsIU7UTMj1WM0S,0.0025,0.697,0.976,0.256,-3.36,0.0389,0.37,134.959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6N61vM6c2DC3Wg311DGd2f,0.000637,0.68,0.896,0.094,-5.323,0.0581,0.745,120.057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f5oCn8eUGl3Elcp5wKrfc,0.00117,0.593,0.927,0.876,-6.722,0.0305,0.328,130.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2lMNNWVnpaJNKCyFFIkWeJ,0.0774,0.663,0.99,0.813,-4.913,0.0549,0.68,125.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6mIce4eaRg6UOFHABNX2xL,0.0987,0.77,0.693,0.742,-8.934,0.0412,0.461,125.011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4umAchOUcqvVP1bO4O5V3k,0.0428,0.709,0.68,0.899,-9.317,0.0633,0.353,130.014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5HrFezHeXyEyQIJVDiUV0e,0.00617,0.732,0.923,0.42,-6.002,0.0489,0.679,125.991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73X9X7kDgsm4YeHpc8prf6,0.347,0.819,0.599,0.824,-6.778,0.039,0.489,127.986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4u6b04BPxMvCeWZEL3A2Hz,0.154,0.658,0.747,0.924,-12.172,0.0422,0.509,134.853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CdnchxvwLJUonYfcDbgB0,0.0408,0.694,0.935,0.453,-6.898,0.0396,0.146,127.997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2LvoLTGnFfuQp93zdnBTL1,0.00502,0.628,0.913,0.828,-3.562,0.0515,0.344,137.017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2sifRHahNmhTR7a3BjKc9u,0.000328,0.524,0.898,0.796,-6.543,0.0409,0.229,130.016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1QrlSQGTF8aEvsdhT4vMi8,0.58,0.698,0.812,0.182,-5.5,0.0399,0.351,128.042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24uD8hstuKKOKs5rVlFDGQ,0.00114,0.361,0.757,0.0864,-8.349,0.0386,0.192,116.788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3iYcDHbDms7Ennm21cp3Kk,0.156,0.601,0.931,0.948,-8.623,0.0407,0.782,125.998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5gwDcz0h3IXdtjTfDpQqog,0.00033,0.603,0.807,0.826,-8.719,0.0434,0.233,128.995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7lsZPaFSmy1iYU8YK6V1kg,0.0478,0.65,0.896,0.911,-7.118,0.0343,0.667,129.987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5TW9JsSvlX9E7zDV5n6HqX,0.142,0.673,0.832,0.000105,-5.125,0.0468,0.363,134.931,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1cJdIbouxNm1DXYq8A6JSO,0.0282,0.645,0.958,0.678,-3.349,0.0412,0.135,123.988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1WcNMJDbf4LkWa5bFNNOUw,0.00126,0.581,0.779,0.955,-7.002,0.0336,0.0394,129.008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54P2kfFdj4w2hfXdq1tOKC,0.331,0.589,0.838,0.912,-9.393,0.0396,0.207,129.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2vdILKD9aDA314NpKbzuz6,0.00324,0.623,0.842,0.876,-4.27,0.0374,0.325,127.057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1xUOdoSrfnYXpZ3iVSWj1o,0.0392,0.678,0.962,0.187,-4.373,0.0477,0.492,129.995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7g1DZDQlJml1nwx3RXO5kC,0.000227,0.476,0.908,0.791,-5.473,0.0387,0.201,126.975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2tlnd5m6vBCKOyQe4SZvvJ,0.00719,0.701,0.881,0.442,-7.421,0.0598,0.176,130.028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2aJDlirz6v2a4HREki98cP,0.0158,0.853,0.798,0.948,-7.995,0.068,0.42,129.983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3E2N8qR5WeeDxuB9ky2FQE,0.00309,0.636,0.957,0.914,-5.659,0.0369,0.523,124.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3fZo9f1RF24iMVBaC6fAiA,0.0938,0.683,0.826,0.762,-7.726,0.0409,0.182,123.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203NXsm7zXESekeZYH8BMB,0.0127,0.632,0.82,0.477,-7.796,0.0379,0.474,130.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387t13BOBNfxBdKP7M1zVA,0.0135,0.637,0.856,0.935,-9.661,0.0436,0.554,126.987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4FN4hAK4kq5ttUabGY4FV8,0.0164,0.67,0.941,0.676,-6.214,0.0648,0.497,124.035,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4Gd5Cxw7V4JCM9Uj6VpiwL,0.000216,0.614,0.796,0.767,-7.702,0.0439,0.368,122.981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d63ekb5zFLC9WSOJOyOyH,0.0412,0.681,0.556,0.797,-10.448,0.0346,0.326,127.985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44TGrpEFEvW9fhXVkGCndQ,0.00335,0.685,0.898,0.845,-7.801,0.0888,0.471,121.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542KU00zQ1QgeJLszdPT76,0.000412,0.565,0.887,0.732,-4.523,0.0417,0.815,126.984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6V77a97jCpg7vY1Qf8bmoA,0.000216,0.682,0.976,0.809,-6.285,0.0604,0.617,125.007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5QNC5tB3bsTo4OC2EgmAS2,0.0351,0.567,0.682,0.855,-12.509,0.0343,0.45,127.988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04Z2yHQQIzkA66Gi5edNEd,0.00182,0.785,0.804,0.903,-6.857,0.0799,0.192,128.993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0F2FxxvRHu75zMCoxhmuY2,0.071,0.711,0.987,0.892,-6.08,0.0406,0.864,123.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6kpNA8Qw0jCLDz1Cf8nTeT,0.000202,0.71,0.725,0.906,-7.601,0.061,0.701,125.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2riMdnoXWLBZOfVSAztTmJ,0.563,0.692,0.769,0.931,-11.583,0.0523,0.663,129.018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0WakOrS1AkGR1JhDHOEJgx,0.0803,0.544,0.782,0.843,-9.45,0.0362,0.248,121.999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0KwDT6uhmaPAz6NoGcMC7b,0.0022,0.196,0.893,0.855,-8.886,0.0673,0.477,190.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3gE9U5mNrJewDXN1wU7d8x,0.0123,0.45,0.433,0.143,-10.839,0.0419,0.0393,113.508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27szvF97Tu95GxN98N52fy,0.0285,0.591,0.513,0.782,-11.151,0.0374,0.263,172.208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4nu46lDzPuZG8Uznmohq5g,0.445,0.547,0.266,0.917,-15.877,0.0301,0.0592,128.002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5PJX4rUiIHjDoUi3C8jeZm,0.662,0.646,0.467,0.792,-14.638,0.0476,0.441,120.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2mk87j3RWPdzy0rWIoUP1o,0.511,0.316,0.657,0.00016,-5.561,0.0903,0.413,77.871,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7pbEoh1Jx2TSN6nAQ93WQz,0.791,0.762,0.761,0.757,-7.292,0.0679,0.521,93.813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1KLFFeO8IV9rQkc3exXqbK,0.207,0.657,0.5,0.854,-8.459,0.0675,0.444,130.055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e20l8hl7vcF96rYn9FxAM,0.0274,0.586,0.566,0.759,-11.838,0.0272,0.296,90.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ZijadCTZVQojVqxw5vePf,0.409,0.845,0.634,0.861,-10.109,0.159,0.38,115.958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4mYDWmlkTTZ2jmHukYppym,0.22,0.664,0.554,0.793,-8.399,0.373,0.448,118.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57SRdgtkfzKxzyd4OgEfWW,0.193,0.758,0.574,0.921,-7.283,0.036,0.398,105.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1qpj1knVmqUhi2e6oeHqMC,0.82,0.433,0.435,0.88,-8.929,0.0359,0.154,140.041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28y3dy7dsZFxkS9aghsy4B,0.0831,0.503,0.572,0.782,-9.161,0.0402,0.251,171.998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2C1nOw1nRxJaBWb9I1x05A,0.11,0.587,0.523,0.765,-9.947,0.0288,0.0457,95.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2uRZUJxvvsndpNpF0vSwDl,0.0592,0.519,0.551,0.437,-8.436,0.0333,0.141,86.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3yWuyh35Khby1Vp9aQJNjn,0.184,0.742,0.288,0.936,-11.931,0.0371,0.27,119.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0902cldCDA0AjfeO1fyuUJ,0.809,0.641,0.329,0.835,-10.337,0.0625,0.0608,122.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5UbAb88Ow2Hw1wFuhRMhFn,0.126,0.725,0.477,0.159,-6.827,0.293,0.327,81.978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5K4ExI2qvE1Ule3u7LxUDT,0.0626,0.697,0.655,0.774,-9.781,0.15,0.415,86.969,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5EeZRTbeIgaU14bJ0XvTSX,0.0479,0.763,0.503,0.625,-9.421,0.0349,0.109,113.967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Kaay3IIAT9KpLRNNDzbJs,0.612,0.374,0.082,0.202,-11.402,0.0412,0.037,91.428,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GweTH2LzZvKJJ5VwwGELy,0.265,0.732,0.435,0.0201,-12.486,0.14,0.523,114.653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RI9Qpt8QbYtwfCW8npcO1,0.432,0.646,0.399,0.284,-14.222,0.0295,0.581,104.985,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3de3pLWU48fpTNlSuM6tyR,0.0464,0.718,0.747,0.641,-4.932,0.0409,0.325,125.982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3JeT6Xcv6MlEHHylk8SKQ1,0.68,0.558,0.47,0.914,-5.5,0.0316,0.427,118.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5MioM7cyUToVQN7zcIMVxi,0.39,0.706,0.577,0.692,-6.226,0.0299,0.366,96.056,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18CtWuhDEwjP915TuYGSEL,0.134,0.234,0.721,0.734,-7.932,0.226,0.0908,180.101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6pdd5njoyfmAFPAm1WWlcP,0.97,0.349,0.405,0.961,-17.494,0.0354,0.106,173.876,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2vgOgW5WHCzzAyNp2LKn8m,0.0972,0.764,0.356,0.123,-16.322,0.0418,0.037,124.962,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HjJ7BeVW2wGWYNNmGfUqR,0.753,0.525,0.262,0.898,-17.009,0.0334,0.222,90.002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3PXFeaY00P1xAFCTnxZwiD,0.65,0.496,0.101,0.684,-22.118,0.292,0.62,59.551,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4SxoponB2oxqjuOSNYhTjb,0.102,0.701,0.557,0.865,-8.816,0.0291,0.586,109.995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6xnlLSNzRTf8Qzo3Km35hc,0.00125,0.715,0.591,0.867,-12.304,0.0489,0.501,96.013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6qINThmTDYBm8twguFRueG,0.938,0.71,0.312,0.909,-11.451,0.0857,0.25,169.955,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0rb8uwjyGc37ZPuvLBNGrj,0.701,0.552,0.0966,0.0228,-19.737,0.0499,0.247,129.961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23VciRIsKDL6JjfhQzTKiY,0.877,0.748,0.479,0.685,-10.947,0.0368,0.328,109.758,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71XSjh3gJXavb0c2j0oZ4A,0.829,0.706,0.374,0.513,-11.017,0.057,0.211,119.954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2bDsmQCRrQKABftWd8DjLG,0.9,0.429,0.454,0.94,-15.347,0.0349,0.15,69.966,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4z6eghrbRO5ZJ5YFmZVvSt,0.0809,0.365,0.753,0.00126,-6.069,0.314,0.226,188.986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4COOqL5PCPvl5P28r1Yhed,0.0102,0.593,0.677,0.857,-10.367,0.0387,0.068,127.029,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5rhCWnzsBSMJlkVhTfW4E7,0.44,0.404,0.537,0.649,-9.895,0.0507,0.0984,158.047,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1UF3y7YPuvH8FtYBTFafHY,0.00104,0.55,0.321,0.576,-8.291,0.0381,0.181,75.077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ZOv9mx6Lz7RRaBFi5UNaE,0.15,0.635,0.655,0.553,-9.521,0.0484,0.271,91.026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4jC2ifws6KbDoXBTkSQiPr,0.201,0.59,0.922,0.97,-7.916,0.0338,0.553,99.996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6syBFNheQcC5HYt4sh6gkC,0.3,0.8,0.756,0.885,-10.124,0.0671,0.67,128.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3VbrfHyBiVjJxBSCMnjDhG,0.716,0.568,0.489,0.743,-11.22,0.0353,0.0387,92.992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ptcIbVgVbpQtlHASdBUlQ,0.934,0.68,0.326,0.919,-15.904,0.0426,0.0818,97.607,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2CoxIfJR3baSVx1WrQTH0C,0.0155,0.813,0.494,0.00378,-11.125,0.484,0.437,90.007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7itTfRvINzobeP4bXkZ1CA,0.0498,0.596,0.506,0.952,-8.239,0.0312,0.414,119.957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RsH8PkQ4B3Z1awvOdrK6a,0.489,0.655,0.426,0.000779,-10.86,0.0563,0.361,156.949,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
